family,schedule,date,J_plan,J_rev,J_emerg,J,e_kWh,a_up_kWh
pt,none,2025-03-08,15658.761979057213,0.0,3760.0208150104163,19418.78279406763,990.1146392361109,0.0
pt,none,2025-03-09,44942.476199615696,0.0,4380.789290899657,49323.265490515354,1021.8077486111118,0.0
pt,none,2025-03-10,42794.52393901348,0.0,10482.737189671361,53277.26112868484,2622.492957291669,0.0
pt,none,2025-03-11,38074.84092604294,0.0,25183.920075183843,63258.76100122678,6743.582310416665,0.0
pt,none,2025-03-12,43761.406577787304,0.0,3583.3552303760453,47344.76180816335,1011.02094375,0.0
pt,none,2025-03-13,43429.5618573254,0.0,12847.294490380558,56276.856347705965,2922.259202430556,0.0
pt,none,2025-03-14,14946.80904350198,0.0,12171.057770090103,27117.86681359208,2884.882468750001,0.0
pt,none,2025-03-15,14878.27588348326,0.0,8612.891232328124,23491.167115811382,2018.2121197916665,0.0
pt,none,2025-03-16,41812.85014510973,0.0,8608.621850090278,50421.47199520001,2310.022511458333,0.0
pt,none,2025-03-17,38273.873964026636,0.0,7975.222749469442,46249.09671349608,1862.3858291666656,0.0
pt,none,2025-03-18,44317.569961104185,0.0,3503.0708506628516,47820.640811767036,910.2523402777788,0.0
pt,none,2025-03-19,36540.9224707731,0.0,18756.525735365798,55297.4482061389,4831.306709722223,0.0
pt,none,2025-03-20,41552.699862743386,0.0,10475.58680146216,52028.286664205545,2661.8422687500024,0.0
pt,none,2025-03-21,14492.973544679548,0.0,4143.7944437354145,18636.767988414962,1097.0895645833327,0.0
pt,none,2025-03-22,15474.289731099892,0.0,1641.0174479845489,17115.30717908444,536.6837701388891,0.0
pt,none,2025-03-23,42055.69025608721,0.0,4472.28885580625,46527.97911189346,1010.6354145833332,0.0
pt,none,2025-03-24,39138.46229307605,0.0,5936.862278726565,45075.324571802616,1594.8894656250006,0.0
pt,none,2025-03-25,43662.139254123256,0.0,4755.2986472496505,48417.437901372905,1259.5600159722212,0.0
pt,none,2025-03-26,37384.411902169704,0.0,6140.394322559031,43524.80622472874,1612.6500100694448,0.0
pt,none,2025-03-27,39953.801892089585,0.0,4028.342021435406,43982.14391352499,1154.6834798611083,0.0
pt,none,2025-03-28,14620.005472828783,0.0,9018.367202098612,23638.372674927396,2133.965875,0.0
pt,none,2025-03-29,13728.513414453128,0.0,9836.23715452066,23564.750568973788,2273.142619791666,0.0
pt,none,2025-03-30,38832.01395614655,0.0,5042.677524746874,43874.69148089342,1320.5697465277772,0.0
pt,none,2025-03-31,33862.62530027203,0.0,21820.94466048228,55683.569960754314,5706.18258472222,0.0
pt,none,2025-04-01,40947.39762657466,0.0,7983.297620755204,48930.695247329866,2093.93395173611,0.0
pt,none,2025-04-02,39002.5333945479,0.0,9946.597540412668,48949.130934960565,2383.135821527777,0.0
pt,none,2025-04-03,40390.823184781184,0.0,3371.4956663088537,43762.318851090036,893.004067708333,0.0
pt,none,2025-04-04,13358.681335403751,0.0,5827.2690121527785,19185.95034755653,1454.330097569445,0.0
pt,none,2025-04-05,13230.436998269544,0.0,20701.17096248403,33931.60796075357,4870.0535854166665,0.0
pt,none,2025-04-06,36926.41266849177,0.0,6241.746881789066,43168.159550280834,1448.296041666667,0.0
pt,none,2025-04-07,32366.603389726977,0.0,21580.650264327945,53947.25365405492,5424.850886805554,0.0
pt,none,2025-04-08,38318.74130910387,0.0,5841.550016020651,44160.29132512452,1286.0996652777756,0.0
pt,none,2025-04-09,37129.27533082283,0.0,12043.605505185245,49172.88083600807,3184.334314930557,0.0
pt,none,2025-04-10,36613.47504725665,0.0,6670.783975183677,43284.25902244033,1557.9842843749993,0.0
pt,none,2025-04-11,12381.99729448498,0.0,14565.029325357293,26947.026619842272,3491.2053097222224,0.0
pt,none,2025-04-12,13588.039186571696,0.0,2509.9228497284703,16097.962036300167,666.7801701388884,0.0
pt,none,2025-04-13,34019.35385199075,0.0,13864.047364341486,47883.40121633224,3253.335042708332,0.0
