policy,date,J_plan,J_emerg,J,e_kWh
point,2025-07-17,47325.46342616981,17550.252293973324,64875.71572014313,4188.4158750185925
point,2025-07-18,23505.264403966372,11608.295227125403,35113.559631091775,3104.442461734109
point,2025-07-19,23504.69977595749,7309.881207817751,30814.580983775242,1870.5339891118367
point,2025-07-20,47549.7935688917,10082.531281343763,57632.32485023546,2890.6890225082484
point,2025-07-21,48237.1733571866,12673.879865853633,60911.05322304023,3557.922375981918
point,2025-07-22,48415.58266958424,13190.825820006554,61606.408489590794,3510.0795351127294
point,2025-07-23,48753.043923059675,13145.803034327573,61898.84695738725,3230.1479838087052
point,2025-07-24,48674.21695491684,13151.679515728123,61825.89647064496,3484.236869864828
point,2025-07-25,23628.864081473585,4466.000318234179,28094.864399707763,1200.7639564951646
point,2025-07-26,24125.802846539547,7133.955545474466,31259.758392014013,2296.6678203999973
point,2025-07-27,48188.21660985566,14687.86121084338,62876.07782069904,3557.0445866792015
point,2025-07-28,48224.237923924025,23623.04398945009,71847.28191337411,6171.631068108349
point,2025-07-29,50064.429509532674,12417.749386322941,62482.17889585561,3376.2270702087126
point,2025-07-30,50335.8788740569,7262.951678711443,57598.83055276834,1817.2783835393755
point,2025-07-31,49797.85442376224,10482.079766995646,60279.934190757886,2416.4366489170734
point,2025-08-01,23949.660618302198,2797.3361119760693,26746.996730278268,885.9285609835356
point,2025-08-02,23938.439821853353,2554.9877344062443,26493.427556259598,652.4755927724618
point,2025-08-03,47554.20708668903,4288.405722828664,51842.61280951769,1039.9011249433408
point,2025-08-04,46302.53966337505,3623.7949802454928,49926.33464362054,983.4437828678169
point,2025-08-05,45590.39609059355,6382.28984725046,51972.68593784401,1653.0751322617327
point,2025-08-06,45220.97296117709,15516.382602175858,60737.35556335295,3872.08414093216
point,2025-08-07,45116.03177422095,5187.246521688934,50303.278295909884,1524.793256502007
point,2025-08-08,23376.727184241976,3266.1473612042964,26642.874545446273,830.9251973191226
point,2025-08-09,22997.94037869452,7268.76405689515,30266.70443558967,2002.5246558572212
point,2025-08-10,44538.7613738464,10815.77304640452,55354.534420250915,3038.908715527594
point,2025-08-11,44626.96618028709,9456.87488258356,54083.84106287065,2198.6331149505645
point,2025-08-12,43728.93784864749,20102.120822866233,63831.05867151372,4762.375796802683
point,2025-08-13,44335.82281803389,12807.915433683498,57143.73825171739,3306.992934379716
point,2025-08-14,44207.42794808271,13304.347361446726,57511.77530952943,3043.7020237177667
point,2025-08-15,22810.03732649383,5444.753257330113,28254.790583823946,1564.665688575847
point,2025-08-16,22923.02833749396,6816.691890650356,29739.720228144317,1568.9550979217154
point,2025-08-17,43969.83769044248,8053.5680264487155,52023.4057168912,1917.9088096174291
point,2025-08-18,43801.08128062726,13035.883630828004,56836.96491145526,2900.809237856869
point,2025-08-19,44097.896488686296,8616.80553403732,52714.70202272361,2330.2475073308747
point,2025-08-20,43975.34515225239,29556.219633379922,73531.5647856323,7256.94283759297
point,2025-08-21,44770.28984770878,10210.471451267877,54980.76129897666,2738.5618590321815
point,2025-08-22,22907.732621797277,10526.084634221443,33433.81725601872,2554.3256601047406
point,2025-08-23,23109.52137157118,5650.258612231623,28759.779983802804,1534.8498421330928
point,2025-08-24,45069.16018744514,8300.371893288615,53369.532080733756,2001.0978661666286
point,2025-08-25,45038.302370026475,20822.33526087256,65860.63763089903,5614.448317558443
point,2025-08-26,45612.852722656564,6333.177169707416,51946.02989236398,1493.7201367257744
point,2025-08-27,45607.16659656368,11899.362040705671,57506.52863726935,2762.392015040158
point,2025-08-28,45757.90353971781,22594.65938190502,68352.56292162283,5955.35813422106
point,2025-08-29,24083.944785031374,5441.230003545129,29525.174788576503,1305.257415667129
point,2025-08-30,23795.764060077156,4574.483813313195,28370.24787339035,1275.2317231597863
point,2025-08-31,45968.51069381423,8170.382395477598,54138.89308929183,2139.6595948654494
point,2025-09-01,45745.64632336846,1986.6893847406259,47732.33570810909,552.4415265828532
point,2025-09-02,45356.10798547621,3289.1196778422477,48645.22766331845,705.1697201626457
point,2025-09-03,45060.8599350554,652.6417917704571,45713.50172682586,177.6925711694098
point,2025-09-04,45710.05575942472,1220.1543394874877,46930.21009891221,255.76088359787548
point,2025-09-05,23552.601934478123,519.8835247623468,24072.48545924047,195.88476324351853
point,2025-09-06,23958.765980764805,789.12627891145,24747.892259676257,191.77555756284139
point,2025-09-07,44926.7019370213,3709.2223669785717,48635.92430399988,889.387831750312
point,2025-09-08,37808.69421076634,20602.46161171655,58411.15582248289,4962.850213034409
point,2025-09-09,38870.32357361958,4664.619272499666,43534.942846119244,1116.2503693648466
point,2025-09-10,38693.35240151425,27334.173240273016,66027.52564178726,6295.93329111935
point,2025-09-11,39320.47269020532,4143.805395188492,43464.27808539382,856.8576318402659
point,2025-09-12,18222.15802307399,3531.004535062715,21753.162558136704,907.2314082593703
point,2025-09-13,18408.287397343505,2823.2226244077965,21231.510021751303,688.8110061484465
point,2025-09-14,38918.46324816627,16045.65796002293,54964.1212081892,4247.985437692272
point,2025-09-15,39207.53407489233,5121.790382137786,44329.32445703012,1265.9070551858504
point,2025-09-16,39041.80491926511,10495.533326133847,49537.338245398954,3352.5664587741403
point,2025-09-17,39291.859831005466,14406.416528312175,53698.27635931764,3470.778426197555
point,2025-09-18,39406.9780573757,8882.55573657323,48289.53379394893,2042.798444637604
point,2025-09-19,18235.971131452636,4319.292189366454,22555.26332081909,1288.454328652757
point,2025-09-20,18193.553980908244,6412.116976199359,24605.670957107603,1540.6846123944679
point,2025-09-21,40985.803188401725,4752.017981304089,45737.821169705814,1485.2947678828364
point,2025-09-22,39897.52948173489,8223.800427310904,48121.329909045795,2227.5017225264037
point,2025-09-23,40722.48169215385,13169.285516570782,53891.76720872463,2982.7239419506914
point,2025-09-24,40473.754336397484,9016.93840404727,49490.692740444756,2429.166016971038
point,2025-09-25,40791.13853025701,7359.593003673418,48150.73153393043,2021.1953235326891
point,2025-09-26,18171.781640519475,4282.990145609385,22454.771786128862,1137.2187914844246
point,2025-09-27,18238.711144236982,14466.374542177306,32705.085686414288,3661.2621957822284
point,2025-09-28,41534.593649984665,12781.221826499575,54315.81547648424,3022.3371463160993
point,2025-09-29,41506.950772591896,8670.972903894923,50177.92367648682,2123.723830710729
point,2025-09-30,41878.151219790925,16521.906680893393,58400.05790068432,3965.530827621087
point,2025-10-01,41880.09943043217,485.2889916220397,42365.38842205421,195.34525413347768
point,2025-10-02,40329.04506326672,1261.4977141144689,41590.54277738119,453.3865149581011
point,2025-10-03,17340.475506912757,1395.5200776782092,18735.995584590964,451.296712827336
point,2025-10-04,18147.5417436706,4500.76287845902,22648.30462212962,1191.390115707291
point,2025-10-05,39140.373084926134,2735.3923421065833,41875.76542703272,818.0767648247412
point,2025-10-06,39408.20497026197,6945.70370193163,46353.908672193604,2145.471101380729
point,2025-10-07,39505.746409703075,9983.303902221925,49489.050311925,2573.3245634830464
point,2025-10-08,36769.80238067238,8048.12523052085,44817.92761119323,2349.3053955904816
point,2025-10-09,37093.31041833083,6530.905074107603,43624.21549243844,1606.9283516895525
point,2025-10-10,15546.377938974536,4434.296520262398,19980.674459236936,1296.8749983704308
point,2025-10-11,16117.048236666735,5481.270379101216,21598.318615767952,1380.5140150127168
point,2025-10-12,37840.2356992306,10426.922244023572,48267.15794325418,2864.5089244650167
point,2025-10-13,38316.23361755604,5163.35803405831,43479.59165161435,1364.4020893496545
point,2025-10-14,37952.86925750162,16048.98963377871,54001.858891280324,3931.8351238875407
point,2025-10-15,38241.44512942752,17222.654981104737,55464.10011053226,4485.887087004182
point,2025-10-16,39031.68267018054,17940.812614862192,56972.495285042736,4465.747522295283
point,2025-10-17,16376.369326263482,4660.665667333897,21037.03499359738,1163.720829723091
point,2025-10-18,16517.592661757422,5667.000157973211,22184.592819730635,1633.3200324232603
point,2025-10-19,40346.34228178207,14006.468706286727,54352.8109880688,3388.986619597207
point,2025-10-20,40986.444917836096,14454.207920636505,55440.6528384726,3387.3600024465486
point,2025-10-21,41560.3640113415,15374.187865952481,56934.55187729398,4163.307769894296
point,2025-10-22,41527.181000132776,15205.636021772561,56732.817021905335,3508.453102094474
point,2025-10-23,42250.041995621825,5980.384383955661,48230.42637957749,1561.1256568458402
point,2025-10-24,16500.63892484901,6980.028779045668,23480.667703894676,1703.118635737549
point,2025-10-25,16634.370244644153,6272.456576146037,22906.82682079019,1563.4270170459417
point,2025-10-26,42680.00492148117,5235.01044016826,47915.015361649435,1493.8981522420486
point,2025-10-27,42644.97149651751,7331.041533523685,49976.01303004119,1887.9477648840395
point,2025-10-28,42343.41080202384,10035.307183347171,52378.71798537101,2574.1013127854885
point,2025-10-29,42444.45128421008,20947.992284159223,63392.4435683693,5434.9347270792205
point,2025-10-30,42861.42972423417,6632.333260954579,49493.76298518875,1686.4172466718824
point,2025-10-31,17203.195697798816,9874.742085523301,27077.937783322115,2800.0192477521305
point,2025-11-01,17204.11940989062,7016.015261268121,24220.13467115874,1906.7926970684948
point,2025-11-02,43988.791850661335,11383.579560937345,55372.37141159868,2689.3203023572005
point,2025-11-03,44578.45896767168,9582.18439781578,54160.643365487456,2967.2253584564787
point,2025-11-04,44645.152611183716,7257.7532837573635,51902.90589494108,1771.719106954476
point,2025-11-05,44862.305773232554,9216.916806786414,54079.22258001897,2521.8108870967626
point,2025-11-06,44580.56950475,18374.905437164278,62955.474941914275,4510.227391709471
point,2025-11-07,17425.866784239286,6348.439104437556,23774.30588867684,1562.7461215289006
point,2025-11-08,17290.443234636885,6168.382511916311,23458.825746553197,1521.9452913624311
point,2025-11-09,45696.19436751312,11809.333829028648,57505.52819654177,3121.985552489532
point,2025-11-10,45897.9562475264,18035.875908754228,63933.83215628063,4654.023620674587
point,2025-11-11,46416.19905997286,9008.66699777105,55424.86605774391,2231.0044031317875
point,2025-11-12,46721.40503294543,8285.618741485474,55007.023774430905,1779.9847747043648
point,2025-11-13,46860.08724845656,11280.474670809463,58140.56191926602,3050.874301150997
point,2025-11-14,18035.691427564016,8171.697943828824,26207.38937139284,2303.4979449987277
point,2025-11-15,17833.224773105434,7845.544118003518,25678.76889110895,1987.398219099115
point,2025-11-16,48002.63942814461,12178.817125032361,60181.45655317698,3142.3046816885562
point,2025-11-17,48654.33998479268,5830.176739548408,54484.51672434108,1506.8615886261755
point,2025-11-18,48350.43958907616,10489.09940454369,58839.53899361985,3093.4845423060697
